"station","address","line","previous__distance_in_meters","previous__station","previous__distance_in_time","previous__combination","next","previous","next__distance_in_meters","next__station","next__distance_in_time","next__combination","transfer_to","coords__lat","coords__lng"
"Las Parcelas","Los Pajaritos con Arq. Hugo Bravo , Santiago de Chile","L5","940","Monte Tabor","82.20209138937884","1","","","1600","Laguna Sur","47.25368576935452","1","null","-33.4753919","-70.7400514"
"Laguna Sur","Teniente Cruz con Laguna Sur , Santiago de Chile","L5","1600","Las Parcelas","48.950794299563114","1","","","1220","Barrancas","56.45380834885013","1","null","-33.4622451","-70.7379291"
"Barrancas","Teniente Cruz con General Bonilla , Santiago de Chile","L5","1220","Laguna Sur","61.992248375804714","1","","","960","Pudahuel","67.06821888933159","1","null","-33.452669","-70.73901699999999"
"Pudahuel","San Pablo con Teniente Cruz , Santiago de Chile","L5","960","Barrancas","80.80840215081096","1","","","1580","San Pablo","46.964123019620594","1","null","-33.4452653","-70.74075470000001"
"San Pablo","San Pablo con Neptuno , Santiago de Chile","L5","1580","Pudahuel","47.32217315267485","1","","","570","Lo Prado","133.42624096148666","1","L1","-33.4444278","-70.7227343"
"Lo Prado","San Pablo con Santa Marta , Santiago de Chile","L5","570","San Pablo","110.00658749560463","9999","","","860","Blanqueado","73.0763056268201","1","null","-33.443123","-70.7168095"
"Blanqueado","San Pablo con Las Rejas , Santiago de Chile","L5","860","Lo Prado","83.17268228686916","1","","","1520","Gruta de Lourdes","44.699438637776986","1","null","-33.441505","-70.707321"
"Gruta de Lourdes","San Pablo con Gral. Velásquez , Santiago de Chile","L5","1520","Blanqueado","49.429923985825724","1","","","1080","Quinta Normal","61.42720791755839","1","null","-33.4382521","-70.6909486"
"Quinta Normal","Catedral con Matucana , Santiago de Chile","L5","1080","Gruta de Lourdes","66.96233157352667","1","","","1090","Cumming","59.950142978127516","1","null","-33.4405051","-70.68007260000002"
"Cumming","Catedral con Ricardo Cumming , Santiago de Chile","L5","1090","Quinta Normal","61.092766516259005","1","","","820","Santa Ana","83.45954051408516","9999","null","-33.4389825","-70.668728"
"Santa Ana","Catedral con Autopista Central , Santiago de Chile","L5","820","Cumming","85.562936949948","1","","","870","Plaza de Armas","70.98939460900202","9999","L2","-33.43810330000001","-70.6599026"
"Plaza de Armas","Catedral con Plaza de Armas , Santiago de Chile","L5","870","Santa Ana","77.79398844974064","9999","","","640","Bellas Artes","120.19065791876633","1","L3","-33.4378514","-70.65072479999999"
"Bellas Artes","Monjitas con Mosqueto , Santiago de Chile","L5","640","Plaza de Armas","104.19970912386638","9999","","","1050","Baquedano","63.53936468427237","9999","null","-33.4364462","-70.6442228"
"Baquedano","General Bustamante con Providencia , Santiago de Chile","L5","1050","Bellas Artes","66.96434691078929","1","","","610","Parque Bustamante","119.94798183009856","1","L1","-33.4372646","-70.63324949999999"
"Parque Bustamante","General Bustamante con Francisco Bilbao , Santiago de Chile","L5","610","Baquedano","126.98986976761888","9999","","","500","Santa Isabel","145.9189096197088","1","null","-33.4429502","-70.63177379999999"
"Santa Isabel","General Bustamante con Santa Isabel , Santiago de Chile","L5","500","Parque Bustamante","134.3052054169417","1","","","720","Irarrázaval","93.10195898949759","9999","null","-33.4470685","-70.6294065"
"Irarrázaval","General Bustamante con Irarrázaval , Santiago de Chile","L5","720","Santa Isabel","108.45258703247634","1","","","1650","Ñuble","38.93819802330426","9999","L3","-33.453135","-70.62892939999999"
"Ñuble","San Eugenio con Ñuble , Santiago de Chile","L5","1650","Irarrázaval","41.03151695009124","9999","","","1240","Rodrigo de Araya","63.59848204958293","1","L6","-33.4674903","-70.6247183"
"Rodrigo de Araya","Vicuña Mackenna con Santa Elena , Santiago de Chile","L5","1240","Ñuble","57.60704719539132","9999","","","1060","Carlos Valdovinos","60.51911249669459","1","null","-33.4775026","-70.6223359"
"Carlos Valdovinos","Vicuña Mackenna con Quilín , Santiago de Chile","L5","1060","Rodrigo de Araya","71.47054478567236","1","","","540","Camino Agrícola","123.60761778720372","1","null","-33.4864172","-70.61917559999999"
"Camino Agrícola","Vicuña Mackenna con Escuela Agrícola , Santiago de Chile","L5","540","Carlos Valdovinos","131.90597198678938","1","","","790","San Joaquín","77.99646759043925","1","null","-33.4917505","-70.61753089999999"
"San Joaquín","Vicuña Mackenna con Raquel , Santiago de Chile","L5","790","Camino Agrícola","78.14327244326401","1","","","1090","Pedrero","63.73433150371299","1","null","-33.4992462","-70.6158507"
"Pedrero","Vicuña Mackenna con Departamental , Santiago de Chile","L5","1090","San Joaquín","59.27827581548352","1","","","850","Mirador","80.48883606892522","1","null","-33.507812","-70.61266300000001"
"Mirador","Vicuña Mackenna con Mirador Azul , Santiago de Chile","L5","850","Pedrero","81.6475145377894","1","","","920","Bellavista de La Florida","71.10928819821045","1","null","-33.5132631","-70.6060067"
"Bellavista de La Florida","Vicuña Mackenna con Cabildo , Santiago de Chile","L5","920","Mirador","71.9508733299071","1","","","770","Vicente Valdés","91.51270977666441","9999","null","-33.5198344","-70.5998832"
"Vicente Valdés","Vicuña Mackenna con Vicente Valdés , Santiago de Chile","L5","770","Bellavista de La Florida","81.99353970367802","1","null","","","","","","L4","-33.526337","-70.596756"
"Cerrillos","P. Aguirre Cerda con Departamental , Santiago de Chile","L6","","","","","","null","1570","Lo Valledor","40.49862761641936","1","null","-33.4834157","-70.6955534"
"Lo Valledor","Av. Carlos Valdovinos con Maipú , Santiago de Chile","L6","1570","Cerrillos","44.5764872651069","1","","","1500","Presidente Pedro Aguirre Cerda","50.13591275731389","1","null","-33.478256","-70.680661"
"Presidente Pedro Aguirre Cerda","Av. Carlos Valdovinos con Club Hípico , Santiago de Chile","L6","1500","Lo Valledor","46.99397444314198","1","","","1590","Franklin","47.1754566207401","9999","null","-33.4783581","-70.6650398"
"Franklin","Isabel Riquelme con Gran Avenida , Santiago de Chile","L6","1590","Presidente Pedro Aguirre Cerda","42.42937085071305","1","","","640","Bío Bío","118.67861381218658","1","L2","-33.4760254","-70.649369"
"Bío Bío","Santa Rosa con Pintor Cicarelli , Santiago de Chile","L6","640","Franklin","96.01672366656172","9999","","","2120","Ñuble","31.920630084053364","9999","null","-33.4767718","-70.6422788"
"Ñuble","Carlos Dittborn con Vicuña Mackenna , Santiago de Chile","L6","2120","Bío Bío","32.55611052051525","1","","","1960","Estadio Nacional","36.34404668074725","1","L5","-33.4674903","-70.6247183"
